filename,category,shaming,stereotype,objectification,violence
img02501.jpg,Appearance-Attack,1,0,0,0
img02502.jpg,Sexual-Harassment,0,0,1,0
img02503.jpg,Sexual-Harassment,0,0,1,0
img02504.jpg,Sexual-Harassment,0,1,1,0
img02505.jpg,Sexual-Harassment,0,0,1,0
img02506.jpg,Sexual-Harassment,0,0,1,0
img02507.jpg,Appearance-Attack,1,1,0,0
img02508.jpg,Sexual-Harassment,0,1,1,0
img02509.jpg,Violence,1,1,0,1
img02510.jpg,Appearance-Attack,1,0,0,0
img02511.jpg,Appearance-Attack,1,1,0,0
img02512.jpg,Misogyny,0,1,0,0
img02513.jpg,Misogyny,0,1,0,0
img02514.jpg,Appearance-Attack,1,0,0,0
img02515.jpg,Appearance-Attack,1,0,0,0
img02516.jpg,Sexual-Harassment,0,0,1,0
img02517.jpg,Appearance-Attack,1,0,0,0
img02518.jpg,Appearance-Attack,1,0,0,0
img02519.jpg,Sexual-Harassment,0,0,1,0
img02520.jpg,Violence,1,1,0,1
img02521.jpg,Misogyny,0,1,0,0
img02522.jpg,Sexual-Harassment,0,0,1,0
img02523.jpg,Sexual-Harassment,1,1,1,0
img02524.jpg,Sexual-Harassment,0,0,1,0
img02525.jpg,Misogyny,0,1,0,0
img02526.jpg,Sexual-Harassment,0,0,1,0
img02527.jpg,Misogyny,0,1,0,0
img02528.jpg,Sexual-Harassment,0,1,1,0
img02529.jpg,Sexual-Harassment,1,1,1,0
img02530.jpg,Sexual-Harassment,0,0,1,0
img02531.jpg,Sexual-Harassment,1,1,1,0
img02532.jpg,Sexual-Harassment,0,1,1,0
img02533.jpg,Misogyny,0,1,0,0
img02534.jpg,Appearance-Attack,1,1,0,0
img02535.jpg,Sexual-Harassment,0,1,1,0
img02536.jpg,Misogyny,0,1,0,0
img02537.jpg,Violence,0,1,1,1
img02538.jpg,Sexual-Harassment,0,1,1,0
img02539.jpg,Misogyny,0,1,0,0
img02540.jpg,Sexual-Harassment,0,0,1,0
img02541.jpg,Misogyny,0,0,0,0
img02542.jpg,Violence,0,1,0,1
img02543.jpg,Appearance-Attack,1,0,0,0
img02544.jpg,Violence,0,1,1,1
img02545.jpg,Appearance-Attack,1,0,0,0
img02546.jpg,Appearance-Attack,1,0,0,0
img02547.jpg,Misogyny,0,0,0,0
img02548.jpg,Violence,0,0,0,1
img02549.jpg,Appearance-Attack,1,1,0,0
img02550.jpg,Appearance-Attack,1,1,0,0
